,street,id,coordinates,address,region
1381,Гжельский переулок,1,"37.680616,55.747647","город Москва, Гжельский переулок, дом 19, строение 2",Таганский район
1382,улица Захарьинские Дворики,1,"37.576412,55.503767","город Москва, улица Захарьинские Дворики, дом 1, корпус 1",район Южное Бутово
1383,Нелидовская улица,1,"37.442949,55.846067","город Москва, Нелидовская улица, дом 10, строение 1",район Южное Тушино
1384,улица Жуковского,1,"37.64542,55.763776","город Москва, улица Жуковского, дом 5",Басманный район
1385,улица Жебрунова,1,"37.678424,55.784997","город Москва, улица Жебрунова, дом 4",район Сокольники
1386,Неманский проезд,1,"37.393955,55.815903","город Москва, Неманский проезд, дом 1",район Строгино
1387,улица Екатерины Будановой,1,"37.43322,55.729787","город Москва, улица Екатерины Будановой, дом 18",район Кунцево
1388,Несвижский переулок,1,"37.588081,55.731764","город Москва, Несвижский переулок, дом 3",район Хамовники
1389,Гжатская улица,1,"37.440496,55.715799","город Москва, Гжатская улица, дом 6",Можайский район
1390,Нижний Журавлёв переулок,1,"37.706164,55.78359","город Москва, Нижний Журавлёв переулок, дом 3",район Соколиная Гора
1391,Нижний Кисельный переулок,1,"37.621785,55.765519","город Москва, Нижний Кисельный переулок, дом 3, строение 1",Мещанский район
1392,Нагорный бульвар,1,"37.59383,55.673844","город Москва, Нагорный бульвар, дом 5, корпус 1",район Котловка
1393,Глинистый переулок,1,"37.63729,55.787548","город Москва, Глинистый переулок, дом 7, строение 1",Мещанский район
1394,12-й проезд Марьиной Рощи,1,"37.618417,55.80445","город Москва, 12-й проезд Марьиной Рощи, владение 9, строение 2",район Марьина Роща
1395,Малый Знаменский переулок,1,"37.604978,55.748285","город Москва, Малый Знаменский переулок, дом 7/10, строение 2",район Хамовники
1396,улица Кутузова,1,"37.414499,55.72271","город Москва, улица Кутузова, дом 20",Можайский район
1397,1-я Миусская улица,1,"37.596965,55.779737","город Москва, 1-я Миусская улица, дом 4",Тверской район
1398,Миллионная улица,1,"37.697963,55.816252","город Москва, Миллионная улица, дом 5",район Богородское
1399,улица Кубинка,1,"37.408346,55.722974","город Москва, улица Кубинка, дом 20, корпус 1",Можайский район
1400,Гродненская улица,1,"37.435376,55.71769","город Москва, Гродненская улица, дом 5",Можайский район
1401,1-я Напрудная улица,1,"37.691064,55.879884","город Москва, 1-я Напрудная улица, дом 13",Лосиноостровский район
1402,улица Крутицкий Вал,1,"37.666297,55.72928","город Москва, улица Крутицкий Вал, дом 5",Южнопортовый район
1403,Минаевский переулок,1,"37.602813,55.789218","город Москва, Минаевский переулок, дом 2",район Марьина Роща
1404,Мирской переулок,1,"37.565919,55.796982","город Москва, Мирской переулок, дом 5",Савёловский район
1405,улица Красных Зорь,1,"37.426914,55.724713","город Москва, улица Красных Зорь, дом 61",Можайский район
1406,Гранатный переулок,1,"37.590506,55.75937","город Москва, Гранатный переулок, дом 7, строение 1",Пресненский район
1407,1-я Пугачёвская улица,1,"37.732126,55.795064","город Москва, 1-я Пугачёвская улица, дом 25, строение 1",район Преображенское
1408,Миусская площадь,1,"37.596588,55.778978","город Москва, Миусская площадь, дом 9, строение 8",Тверской район
1409,Михневский проезд,1,"37.66795,55.577495","город Москва, Михневский проезд, дом 4, корпус 1",район Бирюлёво Восточное
1410,Глинищевский переулок,1,"37.609775,55.763265","город Москва, Глинищевский переулок, дом 3",Тверской район
1411,1-я Чоботовская аллея,1,"37.35415,55.655793","город Москва, 1-я Чоботовская аллея, дом 6-Б",район Ново-Переделкино
1412,улица Кошкина,1,"37.674678,55.640878","город Москва, улица Кошкина, дом 13, корпус 2",район Москворечье-Сабурово
1413,1-я линия Хорошёвского Серебряного Бора,1,"37.443955,55.784379","город Москва, 1-я линия Хорошёвского Серебряного Бора, домовладение 10, строение 1",no_region
1414,Мишина улица,1,"37.561931,55.796638","город Москва, Мишина улица, дом 35",Савёловский район
1415,Госпитальный переулок,1,"37.687497,55.770993","город Москва, Госпитальный переулок, дом 3",Басманный район
1416,Молодёжная улица,1,"37.547836,55.693789","город Москва, Молодёжная улица, дом 4",Гагаринский район
1417,Городская улица,1,"37.617168,55.713836","город Москва, Городская улица, дом 8",Даниловский район
1418,11-я Парковая улица,1,"37.806299,55.807294","город Москва, 11-я Парковая улица, дом 50",район Северное Измайлово
1419,улица Константинова,1,"37.655248,55.816874","город Москва, улица Константинова, дом 11А",Алексеевский район
1420,Мрузовский переулок,1,"37.66742,55.757445","город Москва, Мрузовский переулок, дом 11, строение 1",Басманный район
1421,Гончарная набережная,1,"37.64869,55.737481","город Москва, Гончарная набережная, дом 9/16, строение 3",Таганский район
1422,Гольяновская улица,1,"37.712012,55.774862","город Москва, Гольяновская улица, дом 7А, строение 1",Басманный район
1423,улица Клочкова,1,"37.450683,55.726213","город Москва, улица Клочкова, дом 10",район Фили-Давыдково
1424,1-й Тушинский проезд,1,"37.418308,55.833809","город Москва, 1-й Тушинский проезд, дом 12",район Покровское-Стрешнево
1425,Магаданская улица,1,"37.684138,55.877859","город Москва, Магаданская улица, дом 9",Лосиноостровский район
1426,Малый Златоустинский переулок,1,"37.633751,55.758407","город Москва, Малый Златоустинский переулок, дом 3, строение 3",Басманный район
1427,Красногвардейский бульвар,1,"37.542913,55.758939","город Москва, Красногвардейский бульвар, дом 3, строение 1",Пресненский район
1428,Костомаровская набережная,1,"37.668695,55.750428","город Москва, Костомаровская набережная, дом 29, строение 1",Таганский район
1429,улица Советской Армии,1,"37.615991,55.788905","город Москва, улица Советской Армии, дом 9",район Марьина Роща
1430,Звонарский переулок,1,"37.621947,55.764663","город Москва, Звонарский переулок, дом 5",Мещанский район
1431, деревня Столбово,1,no coordinates,"поселение Сосенское, деревня Столбово, дом 1",no_region
1432, деревня Сенькино-Секерино,1,no coordinates,"поселение Михайлово-Ярцевское, деревня Сенькино-Секерино, дом 154А",no_region
1433, деревня Дудкино,1,no coordinates,"поселение ""Мосрентген"", деревня Дудкино, владение 1",no_region
1434, деревня Давыдково,1,no coordinates,"поселение Марушкинское, деревня Давыдково, дом 101",no_region
1435,Коптевский бульвар,1,"37.522728,55.832404","город Москва, Коптевский бульвар, дом 18А, строение 1",район Коптево
1436,улица Старые Кузьминки,1,"37.786896,55.690588","город Москва, улица Старые Кузьминки, дом 10",район Кузьминки
1437,Кооперативная улица,1,"37.566117,55.72487","город Москва, Кооперативная улица, дом 2, корпус 13",район Хамовники
1438,улица Степана Шутова,1,"37.809686,55.674255","город Москва, улица Степана Шутова, дом 8, корпус 3",район Люблино
1439,Кондрашёвский тупик,1,"37.687973,55.768851","город Москва, Кондрашёвский тупик, дом 3А",Басманный район
1440,Конаковский проезд,1,"37.481145,55.845895","город Москва, Конаковский проезд, дом 5",Головинский район
1441,Композиторская улица,1,"37.586302,55.751224","город Москва, Композиторская улица, дом 17",район Арбат
1442, Автомобильный проезд,1,no coordinates,"город Москва, Автомобильный проезд, дом 6, строение 2",no_region
1443,Зарайская улица,1,"37.770699,55.729843","город Москва, Зарайская улица, дом 33, корпус 2",Рязанский район
1444,Красноказарменный проезд,1,"37.706155,55.753909","город Москва, Красноказарменный проезд, дом 14А, корпус 19",район Лефортово
1445,Кожевнический проезд,1,"37.644791,55.730482","город Москва, Кожевнический проезд, дом 4/5, строение 5",район Замоскворечье
1446,Заводской проезд,1,"37.789663,55.790241","город Москва, Заводской проезд, дом 25",район Измайлово
1447,улица Рогожский Посёлок,1,"37.70072,55.737897","город Москва, улица Рогожский Посёлок, дом 3",Нижегородский район
1448, посёлок Акулово,1,no coordinates,"город Москва, посёлок Акулово, дом 43А, строение 1",no_region
1449,Кулаков переулок,1,"37.639473,55.804713","город Москва, Кулаков переулок, дом 7",Алексеевский район
1450,улица Рокотова,1,"37.554906,55.612004","город Москва, улица Рокотова, дом 2А",район Ясенево
1451,улица Рословка,1,"37.360457,55.830255","город Москва, улица Рословка, дом 8",район Митино
1452,Кузьминская улица,1,"37.786285,55.693378","город Москва, Кузьминская улица, дом 10, строение 2",район Кузьминки
1453,улица Ротерта,1,"37.724238,55.874137","город Москва, улица Ротерта, дом 5",Ярославский район
1454,улица Рудневой,1,"37.677041,55.866586","город Москва, улица Рудневой, дом 10",Бабушкинский район
1455, поселение Филимонковское,1,no coordinates,"город Москва, поселение Филимонковское, деревня Верхнее Валуево, дом 21А",no_region
1456,Жуков проезд,1,"37.646229,55.721975","город Москва, Жуков проезд, дом 8, строение 3",Даниловский район
1457,улица Савельева,1,"37.562892,55.722482","город Москва, улица Савельева, дом 5",район Хамовники
1458,улица Сайкина,1,"37.665695,55.706639","город Москва, улица Сайкина, дом 2",Даниловский район
1459,улица Саляма Адиля,1,"37.464499,55.775069","город Москва, улица Саляма Адиля, дом 9, корпус 3",район Хорошёво-Мнёвники
1460,Кривоарбатский переулок,1,"37.588431,55.747718","город Москва, Кривоарбатский переулок, дом 16/22",район Арбат
1461,Кремлёвская набережная,1,"37.60947,55.746937","город Москва, Кремлёвская набережная, дом 1, строение 2",район Хамовники
1462,Козицкий переулок,1,"37.60814,55.764784","город Москва, Козицкий переулок, дом 1А, строение 2",Тверской район
1463,Зубарев переулок,1,"37.642537,55.811508","город Москва, Зубарев переулок, дом 15, корпус 1",Алексеевский район
1464,улица Рогова,1,"37.461688,55.793809","город Москва, улица Рогова, дом 5А",район Щукино
1465,Карельский бульвар,1,"37.538018,55.895454","город Москва, Карельский бульвар, дом 20",Дмитровский район
1466,Икшинская улица,1,"37.537425,55.886276","город Москва, Икшинская улица, дом 12",Дмитровский район
1467,улица Шеногина,1,"37.509918,55.765164","город Москва, улица Шеногина, дом 2",район Хорошёво-Мнёвники
1468,Канатчиковский проезд,1,"37.592482,55.702368","город Москва, Канатчиковский проезд, владение 5",Донской район
1469, 31-й километр Московской Кольцевой Автодороги,1,no coordinates,"город Москва, 31-й километр Московской Кольцевой Автодороги, владение 8, строение 1",no_region
1470,улица Шумилова,1,"37.775811,55.708298","город Москва, улица Шумилова, дом 9",район Кузьминки
1471,улица Шумкина,1,"37.673412,55.786723","город Москва, улица Шумкина, дом 26А, строение 4",район Сокольники
1472,Калошин переулок,1,"37.592545,55.747905","город Москва, Калошин переулок, дом 4, строение 1",район Арбат
1473, 30-й километр Московской Кольцевой Автодороги,1,no coordinates,"город Москва, 30-й километр Московской Кольцевой Автодороги, владение 6",no_region
1474,Калибровская улица,1,"37.624965,55.808199","город Москва, Калибровская улица, дом 31, строение 1",Останкинский район
1475,улица Щорса,1,"37.407681,55.646492","город Москва, улица Щорса, дом 5",район Солнцево
1476,Калашный переулок,1,"37.601771,55.755282","Калашный переулок, дом 8А/5, строение 3",Пресненский район
1477,Интернациональная улица,1,"37.253117,55.613738","город Москва, Интернациональная улица, дом 10",район Внуково
1478, 26-й километр Московской Кольцевой Автодороги,1,no coordinates,"город Москва, 26-й километр Московской Кольцевой Автодороги, владение 6",no_region
1479,Институтский переулок,1,"37.614545,55.784415","город Москва, Институтский переулок, дом 2",район Марьина Роща
1480,шоссе Фрезер,1,"37.732817,55.734476","город Москва, шоссе Фрезер, дом 32, строение 1",Нижегородский район
1481, 34-й километр Московской Кольцевой Автодороги,1,no coordinates,"город Москва, 34-й километр Московской Кольцевой Автодороги, владение 6",no_region
1482, 42-й километр Калужского шоссе,1,no coordinates,"город Троицк, 42-й километр Калужского шоссе, дом 8",no_region
1483, 80-й километр Московской Кольцевой Автодороги,1,no coordinates,"город Москва, 80-й километр Московской Кольцевой Автодороги, дом 4, строение 1",no_region
1484,Каскадная улица,1,"37.872802,55.70706","город Москва, Каскадная улица, домовладение 21, строение 1",район Косино-Ухтомский
1485, 78-й километр Московской Кольцевой Автодороги,1,no coordinates,"город Москва, 78-й километр Московской Кольцевой Автодороги, дом 14, корпус 1",no_region
1486,Зюзинская улица,1,"37.577175,55.667325","город Москва, Зюзинская улица, дом 3",район Черёмушки
1487, 67-й километр Московской Кольцевой Автодороги,1,no coordinates,"город Москва, 67-й километр Московской Кольцевой Автодороги, дом 7",no_region
1488,улица Уткина,1,"37.744971,55.759532","город Москва, улица Уткина, дом 48",район Соколиная Гора
1489, 65-й километр Московской Кольцевой Автодороги,1,no coordinates,"город Москва, 65-й километр Московской Кольцевой Автодороги, владение 8",no_region
1490,улица Фадеева,1,"37.598681,55.774406","город Москва, улица Фадеева, дом 5, строение 1",Тверской район
1491,Кирпичная улица,1,"37.728658,55.776801","город Москва, Кирпичная улица, дом 18",район Соколиная Гора
1492,Иваньковское шоссе,1,"37.465892,55.819949","город Москва, Иваньковское шоссе, дом 5",район Покровское-Стрешнево
1493,улица Фонвизина,1,"37.586994,55.821092","город Москва, улица Фонвизина, дом 17",Бутырский район
1494, 56-й километр Московской Кольцевой Автодороги,1,no coordinates,"город Москва, 56-й километр Московской Кольцевой Автодороги, дом 10",no_region
1495,Ижорский проезд,1,"37.522108,55.890765","город Москва, Ижорский проезд, дом 17",Дмитровский район
1496, 42-й километр Московской Кольцевой Автодороги,1,no coordinates,"город Москва, 42-й километр Московской Кольцевой Автодороги, владение 4, строение 1",no_region
1497,Изваринская улица,1,"37.251338,55.612863","город Москва, Изваринская улица, дом 4, корпус 1",район Внуково
1498,Известковый переулок,1,"37.656146,55.745118","город Москва, Известковый переулок, дом 1",Таганский район
1499,Измайловская площадь,1,"37.775981,55.79266","город Москва, Измайловская площадь, дом 1А",район Измайлово
1500, проспект Вернадского,1,no coordinates,"город Москва, проспект Вернадского, дом 100, корпус ЗОНА, строение С-1",no_region
1501, улица 9 Мая,1,no coordinates,"город Москва, улица 9 Мая, дом 8",no_region
1502,Дегтярный переулок,1,"37.603684,55.768547","город Москва, Дегтярный переулок, дом 6, строение 1",Тверской район
1503,1-й Николощеповский переулок,1,"37.580544,55.748706","город Москва, 1-й Николощеповский переулок, дом 6, строение 2",район Арбат
1504,1-й Монетчиковский переулок,1,"37.628316,55.732256","город Москва, 1-й Монетчиковский переулок, дом 5, строение 1",район Замоскворечье
1505,Мажоров переулок,1,"37.711518,55.78237","город Москва, Мажоров переулок, дом 5",район Соколиная Гора
1506,улица Недорубова,1,"37.930042,55.700116","город Москва, улица Недорубова, дом 5",район Некрасовка
1507,улица Немчинова,1,"37.567491,55.823955","город Москва, улица Немчинова, дом 8",Тимирязевский район
1508,"МКАД, 44-й километр",1,"37.466979,55.630782","город Москва, поселение ""Мосрентген"", МКАД, 44-й километр, владение 1, строение 1",no_region
1509,"МКАД, 43-й километр",1,"37.473752,55.625725","город Москва, поселение ""Мосрентген"", 43-й километр МКАД, дом 1Б/Н",no_region
1510,"МКАД, 38-й километр",1,"37.512371,55.596808","город Москва, 38-й километр Московской Кольцевой Автодороги, владение 6А, строение 1",район Ясенево
1511,улица Николаева,1,"37.568138,55.756523","город Москва, улица Николаева, дом 5",Пресненский район
1512,"МКАД, 19-й километр",1,"37.782916,55.618781","город Москва, 19-й километр Московской Кольцевой Автодороги, владение 6А",район Братеево
1513,1-й Магистральный тупик,1,"37.526232,55.767003","город Москва, 1-й Магистральный тупик, дом 10, корпус 1",Хорошёвский район
1514,улица Новая Дорога,1,"37.702499,55.774608","город Москва, улица Новая Дорога, дом 11, строение 6",Басманный район
1515,Дмитровский переулок,1,"37.615336,55.7621","город Москва, Дмитровский переулок, дом 3, строение 4",Тверской район
1516,1-й Люсиновский переулок,1,"37.621741,55.727526","город Москва, 1-й Люсиновский переулок, дом 3Б",район Замоскворечье
1517,1-й Лучевой просек,1,"37.66927,55.795423","город Москва, 1-й Лучевой просек, дом 1",no_region
1518,1-й Курьяновский проезд,1,"37.699517,55.657362","город Москва, 1-й Курьяновский проезд, дом 14",район Печатники
1519,Дивизионная улица,1,"37.261831,55.611694","город Москва, Дивизионная улица, дом 4",no_region
1520,Малая Андроньевская улица,1,"37.672594,55.7422","город Москва, Малая Андроньевская улица, дом 20/8, строение 1-1А",Таганский район
1521,1-й Краснокурсантский проезд,1,"37.689761,55.758149","город Москва, 1-й Краснокурсантский проезд, дом 1/4",район Лефортово
1522,1-й Новокузнецкий переулок,1,"37.632305,55.734679","город Москва, 1-й Новокузнецкий переулок, дом 5-7",район Замоскворечье
1523,Малый Власьевский переулок,1,"37.593875,55.74675","город Москва, Малый Власьевский переулок, дом 12, строение 2",район Хамовники
1524,Делегатская улица,1,"37.612057,55.775869","город Москва, Делегатская улица, дом 7, строение 1",no_region
1525,Малая Тульская улица,1,"37.617321,55.701638","город Москва, Малая Тульская улица, дом 57",Донской район
1526,1-й Спасоналивковский переулок,1,"37.616701,55.7333","город Москва, 1-й Спасоналивковский переулок, дом 8, строение 2",район Якиманка
1527,Денежный переулок,1,"37.58676,55.745412","город Москва, Денежный переулок, дом 20",район Хамовники
1528,улица Медведева,1,"37.883671,55.717366","город Москва, улица Медведева, дом 6",район Косино-Ухтомский
1529,улица Медиков,1,"37.677499,55.63318","город Москва, улица Медиков, дом 16",район Царицыно
1530,1-й Силикатный проезд,1,"37.510439,55.767863","город Москва, 1-й Силикатный проезд, дом 13",район Хорошёво-Мнёвники
1531,Малая Переяславская улица,1,"37.63765,55.789406","город Москва, Малая Переяславская улица, дом 6/8",Мещанский район
1532,1-й Сетуньский проезд,1,"37.539078,55.73223","город Москва, 1-й Сетуньский проезд, дом 10",район Раменки
1533,1-й Сельскохозяйственный проезд,1,"37.647082,55.83248","город Москва, 1-й Сельскохозяйственный проезд, дом 2",район Ростокино
1534,1-й Саратовский проезд,1,"37.736339,55.71163","город Москва, 1-й Саратовский проезд, дом 5",район Текстильщики
1535,1-й Рижский переулок,1,"37.652319,55.806611","город Москва, 1-й Рижский переулок, дом 6, строение 1",Алексеевский район
1536,улица Можайский Вал,1,"37.557125,55.745098","город Москва, улица Можайский Вал, дом 6",район Дорогомилово
1537,1-й Обыденский переулок,1,"37.602256,55.743005","город Москва, 1-й Обыденский переулок, дом 9/12",район Хамовники
1538,Лыщиков переулок,1,"37.654457,55.747794","город Москва, Лыщиков переулок, дом 5, строение 1",Таганский район
1539,1-й Котельнический переулок,1,"37.645375,55.74371","город Москва, 1-й Котельнический переулок, дом 5, строение 2",Таганский район
1540,Жигулёвская улица,1,"37.764968,55.71093","город Москва, Жигулёвская улица, дом 5, корпус 3",район Кузьминки
1541,улица Полины Осипенко,1,"37.535233,55.779757","город Москва, улица Полины Осипенко, дом 10, корпус 1",Хорошёвский район
1542,1-й Басманный переулок,1,"37.662838,55.770785","город Москва, 1-й Басманный переулок, дом 3, строение 1",Красносельский район
1543,Егорьевский проезд,1,"37.734865,55.671803","город Москва, Егорьевский проезд, дом 2, строение 5",район Люблино
1544,1-й Балтийский переулок,1,"37.518785,55.810471","город Москва, 1-й Балтийский переулок, дом 3/25",район Аэропорт
1545,Елоховский проезд,1,"37.672666,55.772998","город Москва, Елоховский проезд, дом 1, строение 5",Басманный район
1546,улица Пржевальского,1,"37.451689,55.681849","город Москва, улица Пржевальского, дом 2",район Очаково-Матвеевское
1547,Ландышевая улица,1,"37.392248,55.886963","город Москва, Ландышевая улица, дом 8",район Куркино
1548,Кучин переулок,1,"37.640003,55.804111","город Москва, Кучин переулок, дом 14, строение 1",Алексеевский район
1549,Есенинский бульвар,1,"37.774813,55.700547","город Москва, Есенинский бульвар, дом 14, корпус 2",район Кузьминки
1550,Живарёв переулок,1,"37.643552,55.776634","город Москва, Живарев переулок, дом 8, строение 3",Красносельский район
1551,улица Раевского,1,"37.553199,55.74487","город Москва, улица Раевского, дом 3",район Дорогомилово
1552, улица Хабарова,1,no coordinates,"город Московский, улица Хабарова, дом 2",no_region
1553,Курганская улица,1,"37.815938,55.829426","город Москва, Курганская улица, дом 4А",район Гольяново
1554,Кунцевская улица,1,"37.412981,55.731288","город Москва, Кунцевская улица, дом 10",район Кунцево
1555,улица Ращупкина,1,"37.443982,55.724794","город Москва, улица Ращупкина, дом 3",Можайский район
1556,улица Ремизова,1,"37.601573,55.675306","город Москва, улица Ремизова, дом 12",район Котловка
1557,1-й Ботанический проезд,1,"37.635979,55.850707","город Москва, 1-й Ботанический проезд, дом 2",район Свиблово
1558,Лениногорская улица,1,"37.865265,55.698777","город Москва, Лениногорская улица, дом 32, строение 1",район Косино-Ухтомский
1559,Лужнецкий проезд,1,"37.560395,55.725392","город Москва, Лужнецкий проезд, дом 1",район Хамовники
1560,Лефортовский переулок,1,"37.677373,55.769732","город Москва, Лефортовский переулок, дом 8, строение 1",Басманный район
1561,1-й Коптельский переулок,1,"37.637847,55.772507","город Москва, 1-й Коптельский переулок, дом 2/7, строение 1",Красносельский район
1562,улица Павла Андреева,1,"37.618722,55.719581","город Москва, улица Павла Андреева, дом 27, строение 2",Даниловский район
1563,1-й Кожевнический переулок,1,"37.645959,55.726639","город Москва, 1-й Кожевнический переулок, дом 6, строение 1",Даниловский район
1564,1-й Кирпичный переулок,1,"37.73217,55.778051","город Москва, 1-й Кирпичный переулок, дом 4, строение 2",район Соколиная Гора
1565,улица Паперника,1,"37.787084,55.720859","город Москва, улица Паперника, дом 9",Рязанский район
1566,Лосевская улица,1,"37.714752,55.877824","город Москва, Лосевская улица, дом 9",Ярославский район
1567,1-й Зачатьевский переулок,1,"37.604169,55.739716","город Москва, 1-й Зачатьевский переулок, дом 4",район Хамовники
1568,Лонгиновская улица,1,"37.711455,55.767372","город Москва, Лонгиновская улица, дом 6",район Лефортово
1569,Докучаев переулок,1,"37.64401,55.773434","город Москва, Докучаев переулок, дом 6, строение 2",Красносельский район
1570,улица Пивченкова,1,"37.475576,55.73552","город Москва, улица Пивченкова, дом 7",район Фили-Давыдково
1571,Линейный проезд,1,"37.573474,55.842292","город Москва, Линейный проезд, дом 11",Тимирязевский район
1572,1-й Голутвинский переулок,1,"37.613494,55.7396","город Москва, 1-й Голутвинский переулок, дом 6",район Якиманка
1573,улица Подвойского,1,"37.536463,55.758939","город Москва, улица Подвойского, дом 2",Пресненский район
1574,Лечебная улица,1,"37.740812,55.78978","город Москва, Лечебная улица, дом 20",район Соколиная Гора
